mean_gini,mean_medians,share_unemployed_seasonal,share_population_in_metro_areas,share_population_with_high_school_degree,share_white_poverty,share_non_white,share_voters_voted_trump,share_hate_crimes_per_pop
0.47378,57249,0.06,0.64,0.821,0.12,0.35,0.63,6.90E-06
0.41454,85900.6,0.064,0.63,0.914,0.06,0.42,0.53,9.98E-06
0.46082,61933.6,0.063,0.9,0.842,0.09,0.49,0.5,3.38E-05
0.4658,53459.4,0.052,0.69,0.824,0.12,0.26,0.6,4.27E-06
0.48148,74437.2,0.059,0.97,0.806,0.09,0.61,0.33,2.35E-05
0.45808,78302.2,0.04,0.8,0.893,0.07,0.31,0.44,2.04E-05
0.491,90817.8,0.052,0.94,0.886,0.06,0.3,0.41,3.18E-05
0.44284,73650.4,0.049,0.9,0.874,0.08,0.37,0.42,1.68E-05
0.52966,91260.6,0.067,1,0.871,0.04,0.63,0.04,0.0001774114333
0.4806,59523.4,0.052,0.96,0.853,0.11,0.46,0.49,7.52E-06
0.47698,62118.8,0.058,0.82,0.839,0.09,0.48,0.51,4.95E-06
0.43194,84310.8,0.034,0.76,0.904,0.07,0.81,0.3,7.50E-06
0.43636,60343.6,0.042,0.7,0.884,0.11,0.16,0.59,1.94E-05
0.47276,74271,0.054,0.9,0.864,0.07,0.37,0.39,8.24E-06
0.44464,63498,0.044,0.79,0.866,0.12,0.2,0.57,2.22E-05
0.43516,70252.8,0.036,0.6,0.914,0.09,0.15,0.52,3.55E-06
0.45098,68728.8,0.044,0.64,0.897,0.11,0.25,0.57,2.45E-05
0.46902,57253.8,0.05,0.56,0.817,0.17,0.15,0.63,5.06E-05
0.48324,57881.6,0.06,0.81,0.822,0.12,0.42,0.58,7.89E-06
0.4478,65464.8,0.044,0.54,0.902,0.12,0.09,0.45,2.29E-05
0.44806,92435.6,0.051,0.97,0.89,0.06,0.5,0.35,6.72E-06
0.47948,91263.8,0.046,0.97,0.89,0.08,0.27,0.34,5.82E-05
0.45896,64775.2,0.05,0.87,0.879,0.09,0.24,0.48,3.78E-05
0.44518,80541.2,0.038,0.75,0.915,0.05,0.18,0.45,2.35E-05
0.47658,51294.2,0.061,0.45,0.804,0.14,0.44,0.58,3.96E-06
0.45984,63083.4,0.053,0.78,0.868,0.07,0.2,0.57,1.47E-05
0.44756,64021.6,0.041,0.34,0.908,0.1,0.1,0.57,2.42E-05
0.43842,70104.4,0.029,0.6,0.898,0.07,0.21,0.6,2.02E-05
0.44882,63430.4,0.067,0.87,0.839,0.08,0.5,0.46,1.46E-05
0.43372,84365,0.034,0.63,0.913,0.06,0.09,0.47,1.35E-05
0.47172,91187.2,0.056,1,0.874,0.07,0.44,0.42,4.51E-05
0.47174,56117.4,0.068,0.69,0.828,0.1,0.62,0.4,2.11E-05
0.50428,74589.4,0.051,0.94,0.847,0.1,0.42,0.37,2.83E-05
0.46996,60363.6,0.058,0.76,0.843,0.1,0.38,0.51,1.44E-05
0.45254,78021.2,0.028,0.5,0.901,0.09,0.15,0.64,3.60E-05
0.45938,64972,0.045,0.75,0.876,0.1,0.21,0.52,4.01E-05
0.46198,59736.8,0.044,0.59,0.856,0.1,0.35,0.65,8.69E-06
0.45726,66971,0.062,0.87,0.891,0.1,0.26,0.41,3.01E-05
0.4643,70570.8,0.053,0.87,0.879,0.09,0.24,0.49,5.06E-06
0.4711,76388,0.054,1,0.847,0.08,0.28,0.4,1.03E-05
0.4655,58885.2,0.057,0.79,0.836,0.09,0.36,0.55,1.28E-05
0.4405,67993.4,0.035,0.51,0.899,0.08,0.17,0.62,2.16E-05
0.47442,58332.6,0.057,0.82,0.831,0.13,0.27,0.61,2.67E-05
0.47654,65303,0.042,0.92,0.799,0.08,0.56,0.53,7.81E-06
0.42406,72096.2,0.036,0.82,0.904,0.08,0.19,0.47,1.95E-05
0.44062,72072.4,0.037,0.35,0.91,0.1,0.06,0.33,3.70E-05
0.46392,80760.4,0.043,0.89,0.866,0.07,0.38,0.45,1.69E-05
0.449,77669.2,0.052,0.86,0.897,0.09,0.31,0.38,5.40E-05
0.46158,54052.2,0.073,0.55,0.828,0.14,0.07,0.69,2.66E-05
0.43782,70395.8,0.043,0.69,0.898,0.09,0.22,0.48,8.10E-06
0.41796,73577.6,0.04,0.31,0.918,0.09,0.15,0.7,2.98E-06